Title,Abstract
Battersea,"Battersea is a district of South West London, England, within the London Borough of Wandsworth. It is located on the south bank of the River Thames, 2.9 miles (4.7 km) southwest of Charing Cross.
"
Eurostar,"Eurostar is an international high-speed railway service connecting London with Amsterdam, Brussels, Bourg-Saint-Maurice, Disneyland Paris, Lille, Fréthun, Paris, and Rotterdam. All its trains travel through the Channel Tunnel between the United Kingdom and France, owned and operated separately by Getlink.
The London terminus is St Pancras International, the other British calling points are Ebbsfleet International and Ashford International in Kent. Intermediate calling points in France are Calais-Fréthun and Lille-Europe, with trains to Paris terminating at Gare du Nord. Trains to Belgium terminate at Midi/Zuid station in Brussels. The only intermediate calling station in the Netherlands is Rotterdam Centraal and trains terminate at Amsterdam Centraal. There are direct services from London to Disneyland Paris at Marne-la-Vallée – Chessy, direct services to southern France (Lyon, Avignon and Marseille), and seasonal direct services to the French Alps in winter (December to April).
The service is operated by eighteen-coach Class 373/1 trains and sixteen-coach Class 374 trains which run at up to 320 kilometres per hour (199 mph) on a network of high-speed lines. The LGV Nord line in France opened before Eurostar services began in 1994, and newer lines enabling faster journeys were added later—HSL 1 in Belgium and High Speed 1 in south-east England. The French and Belgian parts of the network are shared with Paris–Brussels Thalys services and TGV trains. In the United Kingdom the two-stage Channel Tunnel Rail Link project was completed on 14 November 2007 and renamed High Speed 1, when the London terminus of Eurostar moved from London Waterloo International to St Pancras International.
Until 2010, Eurostar was operated jointly by the national railway companies of France and Belgium, SNCF and SNCB/NMBS, and Eurostar (UK) Ltd (EUKL), a subsidiary of London and Continental Railways (LCR) that owned the high-speed infrastructure and stations on the British side. On 1 September 2010, Eurostar was incorporated as a single corporate entity, Eurostar International Limited (EIL).
"
Edinburgh,"518,500 – Council Area[2]
Edinburgh (/ˈɛdɪnbərə/ (listen);[8][9][10] Scots: Edinburgh; Scottish Gaelic: Dùn Èideann [ˈt̪uːn ˈeːtʲən̪ˠ]) is the capital of Scotland and one of its 32 council areas. Historically part of the county of Midlothian (interchangeably Edinburghshire before 1921),[11] it is located in Lothian on the Firth of Forth's southern shore.
Recognised as the capital of Scotland since at least the 15th century, Edinburgh is the seat of the Scottish Government, the Scottish Parliament and the supreme courts of Scotland. The city's Palace of Holyroodhouse is the official residence of the monarch in Scotland. The city has long been a centre of education, particularly in the fields of medicine, Scots law, literature, philosophy, the sciences and engineering. It is the second largest financial centre in the United Kingdom (after London)[12] and the city's historical and cultural attractions have made it the United Kingdom's second most visited tourist destination attracting 4.9 million visits including 2.4 million from overseas in 2018.[13]
Edinburgh is Scotland's second most populous city (behind Glasgow) and the seventh most populous in the United Kingdom. The official population estimates are 488,050 (2016) for the Locality of Edinburgh (Edinburgh pre 1975 regionalisation plus Currie and Balerno),[1] 518,500 (2018) for the City of Edinburgh,[2] and 1,339,380 (2014) for the city region.[14][15] Edinburgh lies at the heart of the Edinburgh and South East Scotland city region comprising East Lothian, Edinburgh, Fife, Midlothian, Scottish Borders and West Lothian.[16]
The city is the annual venue of the General Assembly of the Church of Scotland. It is home to national institutions such as the National Museum of Scotland, the National Library of Scotland and the Scottish National Gallery. The University of Edinburgh, founded in 1582 and now one of four in the city, is placed 20th in the QS World University Rankings for 2020.[17] The city is also known for the Edinburgh International Festival and the Fringe, the latter being the world's largest annual international arts festival. Historic sites in Edinburgh include Edinburgh Castle, the Palace of Holyroodhouse, the churches of St. Giles, Greyfriars and the Canongate, and the extensive Georgian New Town built in the 18th/19th centuries. Edinburgh's Old Town and New Town together are listed as a UNESCO World Heritage site,[18] which has been managed by Edinburgh World Heritage since 1999.
""Edin"", the root of the city's name, derives from Eidyn, the name for this region in Cumbric, the Brittonic Celtic language formerly spoken there. The name's meaning is unknown.[19] The district of Eidyn centred on the stronghold Din Eidyn, the dun or hillfort of Eidyn.[19] This stronghold is believed to have been located at Castle Rock, now the site of Edinburgh Castle. Eidyn was conquered by the Angles of Bernicia in the 7th century and later by the Scots in the 10th century.[20] As the language shifted to Old English, and subsequently to modern English and Scots, the Brittonic din in Din Eidyn was replaced by burh, producing Edinburgh. Similarly, din became dùn in Scottish Gaelic, producing Dùn Èideann.[19][21]
The city is affectionately nicknamed Auld Reekie,[22][23] Scots for Old Smoky, for the views from the country of the smoke-covered Old Town.
A remark on a poem in an 1800 collection of the poems of Allan Ramsay said, ""Auld Reeky. A name the country people give Edinburgh from the cloud of smoke or reek that is always impending over it.""[24]
Thomas Carlyle said, ""Smoke cloud hangs over old Edinburgh,—for, ever since Aeneas Silvius's time and earlier, the people have the art, very strange to Aeneas, of burning a certain sort of black stones, and Edinburgh with its chimneys is called 'Auld Reekie' by the country people.""[25]
A character in Walter Scott's The Abbot says ""... yonder stands Auld Reekie—you may see the smoke hover over her at twenty miles' distance.""[26]
"
Financial crisis of 2007–2008,"The financial crisis of 2007–2008, also known as the global financial crisis (GFC), was a severe worldwide financial crisis.  Excessive risk-taking by banks[2] combined with a downturn in the subprime lending market in the United States culminated with the bankruptcy of Lehman Brothers on September 15, 2008 and an international banking crisis.[3] The crisis sparked the Great Recession, a global recession, which, until the coronavirus recession, was the most severe recession since the Great Depression.[4][5][6][7][8][9] It was also followed by the European debt crisis, which began with a deficit in Greece in late 2009, and the 2008–2011 Icelandic financial crisis.
As responses to the crisis, to avoid a further collapse, encourage lending, restore faith in the integral commercial paper markets, and provide banks with enough funds to allow customers to make withdrawals, governments were forced to provide then-unprecedented bailouts and stimulus in 2008. In July 2010, the Dodd–Frank Wall Street Reform and Consumer Protection Act was enacted in the United States to ""promote the financial stability of the United States"".[10] The Basel III capital and liquidity standards were adopted by countries around the world.[11]
"
Battersea Power Station,"Battersea Power Station is a decommissioned coal-fired power station, located on the south bank of the River Thames, in Nine Elms, Battersea, in the London Borough of Wandsworth. It was built by the London Power Company (LPC) to the design of Leonard Pearce, Engineer in Chief to the LPC, and CS Allott & Son Engineers. The architects were J Theo Halliday and Giles Gilbert Scott.  The station is one of the world's largest brick buildings and notable for its original, Art Deco interior fittings and decor.
The building comprises two power stations, built in two stages in a single building. Battersea A Power Station was built between 1929–35 and Battersea B Power Station to its east, between 1937–41, when construction was paused owing to the worsening effects of the Second World War. The building was completed in 1955. ""Battersea B"" was built to a near identical design to ""Battersea A"" which provided the iconic four-chimney structure.
""Battersea A"" was decommissioned in 1975.  In 1980 the whole structure was given Grade II listed status; ""Battersea B"" shut three years later. In 2007 its listed status was upgraded to Grade II*. The building remained empty until 2014, during which time it fell into near ruin. Various plans were made to make use of the building, but none were successful. In 2012, administrators Ernst & Young entered into an exclusivity agreement with Malaysia's SP Setia and Sime Darby to develop the site to include 250 residential units, bars, restaurants, office space (occupied by Apple and No.18 business members club), shops and entertainment spaces. The plans were approved and redevelopment started a few years later. As of 2019, the building is owned by a consortium of Malaysian investors.
"
The Independent,"The Independent is a British online publisher of news that was established in 1986 as a national morning printed newspaper published in London. Nicknamed the Indy, it began as a broadsheet and changed to tabloid format in 2003.[5] The last printed edition was published on Saturday 26 March 2016, leaving only the online edition.[6]
It tends to take a pro-market stance on economic issues.[7] The newspaper was controlled by Tony O'Reilly's Irish Independent News & Media from 1997 until it was sold to the Russian businessman and former KGB officer Alexander Lebedev in 2010.[1]
In June 2015, the newspaper had an average daily circulation of just below 58,000, 85% down from its 1990 peak, while the Sunday edition had a circulation of just over 97,000.[6][8] The daily edition was named National Newspaper of the Year at the 2004 British Press Awards. The website and mobile app have a combined monthly reach of 22,939,000.[9]
"
Hanwell,"Hanwell (/ˈhænwɛl/) is a town in the London Borough of Ealing, in the historic County of Middlesex, England. It is about 1.5 miles west of Ealing Broadway and had a population of 28,768 as of 2011.[2] It is the westernmost location of the London post town.
"
Jews,"Enlarged population (includes full or partial Jewish ancestry): 
Jews (Hebrew: .mw-parser-output .script-hebrew,.mw-parser-output .script-Hebr{font-size:1.15em;font-family:""SBL Hebrew"",""SBL BibLit"",""Frank Ruehl CLM"",""Taamey Frank CLM"",""Ezra SIL"",""Ezra SIL SR"",""Keter Aram Tsova"",""Taamey Ashkenaz"",""Taamey David CLM"",""Keter YG"",""Shofar"",""David CLM"",""Hadasim CLM"",""Simple CLM"",""Nachlieli"",Cardo,Alef,""Noto Serif Hebrew"",""Noto Sans Hebrew"",""David Libre"",David,""Times New Roman"",Gisha,Arial,FreeSerif,FreeSans}יְהוּדִים ISO 259-2 Yehudim, Israeli pronunciation [jehuˈdim]) or Jewish people are an ethnoreligious group[10] and a nation,[11][12][13] originating from the Israelites[14][15][16] and Hebrews[17][18] of historical Israel and Judah. Jewish ethnicity, nationhood, and religion are strongly interrelated,[19][20] as Judaism is the ethnic religion of the Jewish people, while its observance varies from strict observance to complete nonobservance.[21]
Jews originated as an ethnic and religious group in the Middle East during the second millennium BCE,[9] in the part of the Levant known as the Land of Israel.[22] The Merneptah Stele appears to confirm the existence of a people of Israel somewhere in Canaan as far back as the 13th century BCE (Late Bronze Age).[23][24] The Israelites, as an outgrowth of the Canaanite population,[25] consolidated their hold with the emergence of the kingdoms of Israel and Judah. Some consider that these Canaanite sedentary Israelites melded with incoming nomadic groups known as 'Hebrews'.[26] Though few sources mention the exilic periods in detail,[27] the experience of diaspora life, from the Babylonian captivity and exile to the Roman occupation and exile, and the historical relations between Jews and their homeland thereafter, became a major feature of Jewish history, identity and memory.[28] Prior to World War II, the worldwide Jewish population reached a peak of 16.7 million,[29] representing around 0.7 percent of the world population at that time. Approximately 6 million Jews were systematically murdered during the Holocaust.[30][31] Since then the population has slowly risen again, and as of 2018[update] was estimated at 14.6–17.8 million by the Berman Jewish DataBank,[1] less than 0.2 percent of the total world population.[32][note 1]
The modern State of Israel is the only country where Jews form a majority of the population. It defines itself as a Jewish and democratic state in the Basic Laws, Human Dignity and Liberty in particular, which is based on the Declaration of Independence. Israel's Law of Return grants the right of citizenship to Jews who have expressed their desire to settle in Israel.[34]
Despite their small percentage of the world's population, Jews have significantly influenced and contributed to human progress in many fields, both historically and in modern times, including philosophy,[35] ethics,[36] literature,[37] politics,[37] business,[37] fine arts and architecture,[37] music, theatre[38] and cinema, medicine,[39][40] and science and technology,[37] as well as religion; Jews authored the Bible,[41][42] founded Early Christianity[43] and had a profound influence on Islam.[44] Jews have also played a significant role in the development of Western Civilization.[45][46]
The English word ""Jew"" continues Middle English Gyw, Iewe. These terms were loaned via the Old French giu, which itself evolved from the earlier juieu, which in turn derived from judieu/iudieu which through elision had dropped the letter ""d"" from the Medieval Latin Iudaeus, which, like the New Testament Greek term Ioudaios, meant both ""Jew"" and ""Judean"" / ""of Judea"".[47] The Greek term was a loan from Aramaic Y'hūdāi, corresponding to Hebrew יְהוּדִי Yehudi, originally the term for a member of the tribe of Judah or the people of the kingdom of Judah. According to the Hebrew Bible, the name of both the tribe and kingdom derive from Judah, the fourth son of Jacob.[48] Genesis 29:35 and 49:8 connect the name ""Judah"" with the verb yada, meaning ""praise"", but scholars generally agree that the name of both the patriarch and the kingdom instead have a geographic origin—possibly referring to the gorges and ravines of the region.[49]
The Hebrew word for ""Jew"" is יְהוּדִי‎ Yehudi, with the plural יְהוּדִים‎ Yehudim.[50] Endonyms in other Jewish languages include the Ladino ג׳ודיו‎ Djudio (plural ג׳ודיוס‎, Djudios) and the Yiddish ייִד‎ Yid (plural ייִדן‎ Yidn).
The etymological equivalent is in use in other languages, e.g., يَهُودِيّ yahūdī (sg.), al-yahūd (pl.), in Arabic, ""Jude"" in German, ""judeu"" in Portuguese, ""Juif"" (m.)/""Juive"" (f.) in French, ""jøde"" in Danish and Norwegian, ""judío/a"" in Spanish, ""jood"" in Dutch, ""żyd"" in Polish etc., but derivations of the word ""Hebrew"" are also in use to describe a Jew, e.g., in Italian (Ebreo), in Persian (""Ebri/Ebrani"" (Persian: عبری/عبرانی‎)) and Russian (Еврей, Yevrey).[51] The German word ""Jude"" is pronounced [ˈjuːdə], the corresponding adjective ""jüdisch"" [ˈjyːdɪʃ] (Jewish) is the origin of the word ""Yiddish"".[52]
According to The American Heritage Dictionary of the English Language, fourth edition (2000),
"
The Tabard,"The Tabard was a historic inn that stood on the east side of Borough High Street in Southwark. The hostelry was established in 1307 and stood on the ancient thoroughfare that led south from London Bridge to Canterbury and Dover. It was built for the Abbot of Hyde who purchased the land to construct a place to stay for himself and his ecclesiastical brethren when on business in London.
The Tabard was also famous for accommodating people who made the pilgrimage to the Shrine of Thomas Becket in Canterbury Cathedral, and Geoffrey Chaucer mentions it in his 14th Century work The Canterbury Tales.
The inn was located on Borough High Street in Southwark, on the south bank of the Thames, just north of where the two Roman roads of Stane Street and Watling Street merged. It stood near the Manor of Southwark, controlled by the Bishops of Winchester. Also known as the Liberty of Winchester, the manor lay outside the jurisdiction of the City of London. Activities that were forbidden within the City of London and the county of Surrey, including prostitution and animal baiting, were permitted within Southwark, which thus became medieval London's entertainment district. In these times, the Tabard would have been filled with pilgrims, drunks, travellers, criminals, and prostitutes (colloquially known as the ""Winchester Geese"").
Chaucer wrote that The Tabard was the location where the pilgrims first met on their journey to Canterbury in the 1380s. The inn's proprietor was a man named Harry Bailey:[1]
Bifel that in that season on a day,In Southwerk at the Tabard as I layRedy to wenden on my pilgrymageTo Caunterbury with ful devout corage,At nyght was come into that hostelryeWel nyne and twenty in a compaignyeOf sondry folk, by aventure yfalleIn felaweshipe, and pilgrimes were they alle,That toward Caunterbury wolden ryde;The chambres and the stables weren wyde,And well we weren esed atte beste;The antiquary John Stow wrote in his Survey that by the 16th Century it was among several inns at this location in Southwark: ""many fair inns, for receipt of travellers, by these signs: the Spurre, Christopher, Bull, Queen's Head, Tabard, George, Hart, King's Head"" &c.[2] 
Following the Dissolution of the Monasteries in the mid 16th Century, ""the Tabard of the Monastery of Hyde, and the Abbot's Place, with the stable and gardens thereunto belonging"" were sold to John and Thomas Master.
On 26 May 1676, ten years after the Great Fire of London, a great blaze started in Southwark. The Tabard was among many buildings that were either burned down or pulled down to create fire breaks. The blaze, which took 17 hours to contain, destroyed most of medieval Southwark. King Charles II and his brother the Duke of York were both involved in the firefighting effort. Although the medieval building was destroyed, the site was immediately rebuilt and renamed The Talbot.
In the early 18th Century, the new inn was profiting from the growth in stagecoach traffic between London and the channel ports because of the growth in turnpikes. By the early 19th Century, the Talbert remained a well-renowned coaching inn. However, with the advent of the railways, it eventually closed. The building was then converted into stores. It was demolished in 1873.


"
Hanworth,"Hanworth is an urban and suburban district in the Feltham district of West London, England. Historically in Middlesex, it has formed part of the London Borough of Hounslow since 1965. Hanworth adjoins Feltham to the northwest, Twickenham to the northeast and Hampton to the southeast, with Sunbury-on-Thames to the southwest.
The name is thought to come from the Anglo-Saxon words ""haen/han"" and ""worth"", meaning ""small homestead"".[2]
"
,
W postcode area,"Postcode district boundaries: The W (Western and Paddington) postcode area, also known as the London W postcode area[2] is a group of postcode districts covering part of central and part of west London, England. The area originates from the Western (W1) and Paddington (W2-14) districts[3] of the London postal district.
"
London Riverside,"The London Riverside is a redevelopment area on the north side of the River Thames in East London, England and part of the larger Thames Gateway redevelopment zone. The London Riverside area forms part of the Green Enterprise District, a project to create a low-carbon economy region in Greater London. Land available for redevelopment is owned by GLA Land and Property. From 2004 to 2013 the redevelopment of London Riverside and the Lower Lea Valley was the responsibility of the London Thames Gateway Development Corporation. There is also a London Riverside business improvement district which covers a smaller area.
"
France,"– in Europe (green & dark grey)– in the European Union (green)
France (French: [fʁɑ̃s] (listen)), officially the French Republic (French: République française, pronounced [ʁepyblik fʁɑ̃sɛːz] (listen)), is a country consisting of metropolitan France in Western Europe and several overseas regions and territories.[XIII] The metropolitan area of France extends from the Mediterranean Sea to the English Channel and the North Sea, and from the Rhine to the Atlantic Ocean. It borders Belgium, Luxembourg and Germany to the northeast, Switzerland, Monaco, and Italy to the east, and Andorra and Spain to the south. The overseas territories include French Guiana in South America and several islands in the Atlantic, Pacific and Indian oceans. The country's 18 integral regions (five of which are situated overseas) span a combined area of 643,801 square kilometres (248,573 sq mi) and a total population of 67.07 million (as of May 2020[update]).[10] France is a unitary semi-presidential republic with its capital in Paris, the country's largest city and main cultural and commercial centre. Other major urban areas include Lyon, Marseille, Toulouse, Bordeaux, Lille and Nice. France, including its overseas territories, has the most time zones of any country, with a total of 12.
During the Iron Age, what is now metropolitan France was inhabited by the Gauls, a collection of Celtic tribes. The area was annexed by Rome in 51 BC, developing a distinct Gallo-Roman culture that laid the foundation of the French language. The Germanic Franks arrived in 476 and formed the Kingdom of Francia, which became the heartland of the Carolingian Empire. The Treaty of Verdun of 843 partitioned the empire, with West Francia becoming the Kingdom of France in 987. Under King Philip Augustus, France emerged as a major European power in the Middle Ages. During the Renaissance, French culture flourished and a global colonial empire was established, which by the 20th century would become the second largest in the world.[11] The 16th century was dominated by religious civil wars between Catholics and Protestants (Huguenots). France became Europe's dominant cultural, political, and military power in the 17th century under Louis XIV.[12] In the late 18th century, the French Revolution overthrew the absolute monarchy, establishing one of modern history's earliest republics and drafting the Declaration of the Rights of Man and of the Citizen, which expresses the nation's ideals to this day.
In the 19th century, Napoleon took power and established the First French Empire. His subsequent Napoleonic Wars (1803–15) shaped the course of European and world history. Following the collapse of the Empire, France endured a tumultuous succession of governments culminating with the establishment of the French Third Republic in 1870. France was a major participant in World War I, from which it emerged victorious, and was one of the Allies in World War II, but came under occupation by the Axis powers in 1940. Following liberation in 1944, a Fourth Republic was established and later dissolved in the course of the Algerian War. The Fifth Republic, led by Charles de Gaulle, was formed in 1958 and remains today. Algeria and nearly all other colonies became independent in the 1960s, with most retaining close economic and military connections with France.
France retains its centuries-long status as a global centre of art, science, and philosophy. It hosts the world's fifth-largest number of UNESCO World Heritage Sites and is the leading tourist destination, receiving over 89 million foreign visitors in 2018.[13] France is a developed country with the world's seventh-largest economy by nominal GDP, and the tenth-largest by PPP. In terms of aggregate household wealth, it ranks fourth in the world.[14] France performs well in international rankings of education, health care, life expectancy, and human development.[15][16] It is considered a great power in global affairs,[17] being one of the five permanent members of the United Nations Security Council and an official nuclear-weapon state. France is a founding and leading member of the European Union and the Eurozone,[18] and a member of the Group of 7, North Atlantic Treaty Organization (NATO), Organisation for Economic Co-operation and Development (OECD), the World Trade Organization (WTO), and La Francophonie.
Originally applied to the whole Frankish Empire, the name France comes from the Latin Francia, or ""country of the Franks"".[19] Modern France is still named today Francia in Italian and Spanish, while Frankreich in German, Frankrijk in Dutch and Frankrike in Swedish all mean ""Land/realm of the Franks"".
There are various theories as to the origin of the name Frank. Following the precedents of Edward Gibbon and Jacob Grimm,[20] the name of the Franks has been linked with the word frank (free) in English.[21] It has been suggested that the meaning of ""free"" was adopted because, after the conquest of Gaul, only Franks were free of taxation.[22] Another theory is that it is derived from the Proto-Germanic word *frankon, which translates as javelin or lance as the throwing axe of the Franks was known as a francisca.[23] However, it has been determined that these weapons were named because of their use by the Franks, not the other way around.[24]
In English, 'France' is pronounced /fræns/ FRANSS in American English and /frɑːns/ FRAHNSS or /fræns/ FRANSS in British English. The pronunciation with /ɑː/ is mostly confined to accents with the trap-bath split such as Received Pronunciation, though it can be also heard in some other dialects such as Cardiff English, in which /frɑːns/ is in free variation with /fræns/.[25][26]
The oldest traces of human life in what is now France date from approximately 1.8 million years ago.[27] Over the ensuing millennia, Humans were confronted by a harsh and variable climate, marked by several glacial eras.
"
Uxbridge College,"Uxbridge College (formerly Uxbridge Technical College) is a general further education college in the London Borough of Hillingdon. It has two campuses, in Uxbridge and in Hayes.
"
TW postcode area,"Postcode district boundaries: The TW postcode area, also known as the Twickenham postcode area,[2] is a group of 20 postcode districts in  England, within 13 post towns. These cover parts of south-west London and north-west Surrey, plus a very small part of Berkshire.
Mail for this area is sorted at the Jubilee Mail Centre, Hounslow,[n 1] and the area served includes most of the London Boroughs of Richmond upon Thames and Hounslow, the southernmost part of the London Borough of Hillingdon (including Heathrow Airport) and very small parts of the Royal Borough of Kingston upon Thames. In Surrey it covers virtually all of the borough of Spelthorne, the northern part of the borough of Runnymede and very small parts of the borough of Elmbridge, and in Berkshire it covers the village of Wraysbury in the Royal Borough of Windsor and Maidenhead.
"
The Kinks,"The Kinks are an English rock band formed in Muswell Hill, north London, in 1964 by brothers Ray and Dave Davies. They are regarded as one of the most influential rock bands of the 1960s.[3][4] The band emerged during the height of British rhythm and blues and Merseybeat, and were briefly part of the British Invasion of the United States until their touring ban in 1965 (as a result of constant fighting between the brothers). Their third single, the Ray Davies-penned ""You Really Got Me"",[4][5] became an international hit, topping the charts in the United Kingdom and reaching the Top 10 in the United States.[6] Their music was influenced by a wide range of genres, including American R&B and rock and roll initially, and later adopting British music hall, folk, and country. They gained a reputation for reflecting English culture and lifestyle, fuelled by Ray Davies' wittily observational writing style,[4] and are considered one of the most influential groups of the period.[3][5][7]
Early works included albums such as Face to Face (1966), Something Else (1967), The Kinks Are the Village Green Preservation Society (1968), Arthur (1969), Lola Versus Powerman (1970), and Muswell Hillbillies (1971), along with their accompanying singles. After a fallow period in the mid-1970s, the band experienced a revival during the late 1970s and early 1980s with their albums Sleepwalker (1977), Misfits (1978), Low Budget (1979), Give the People What They Want (1981) and State of Confusion (1983). In addition, groups such as Van Halen, the Jam, the Knack, the Pretenders and the Fall covered their songs, helping to boost the Kinks' record sales. In the 1990s, Britpop acts such as Blur and Oasis cited the band as a major influence.[3]
Ray Davies (rhythm guitar, lead vocals, keyboards) and Dave Davies (lead guitar, vocals) remained members throughout the band's 32-year run. Longest-serving member Mick Avory (drums and percussion) was replaced by Bob Henrit, formerly of Argent, in 1984. Original bass guitarist Pete Quaife was replaced by John Dalton in 1969. After Dalton's 1976 departure, Andy Pyle briefly served as the band's bassist before being replaced by Argent bassist Jim Rodford in 1978. Session keyboardist Nicky Hopkins accompanied the band in the studio for many of their recordings in the mid-to-late 1960s. The band became an official five-piece in 1970, when keyboardist John Gosling joined them. Gosling quit in 1978; he was first replaced by ex-Pretty Things member Gordon Edwards, then more permanently by Ian Gibbons in 1979. The band gave its last public performance in 1996 and broke up in 1997 as a result of creative tension between the Davies brothers.[8]
The Kinks have had five Top 10 singles on the US Billboard chart. Nine of their albums charted in the Top 40.[9] In the UK, they have had seventeen Top 20 singles and five Top 10 albums.[10] Four Kinks albums have been certified gold by the RIAA and the band have sold over 50 million records worldwide. Among numerous honours, they received the Ivor Novello Award for ""Outstanding Service to British Music"".[11] In 1990, the original four members of The Kinks were inducted into the Rock and Roll Hall of Fame,[4][5] as well as the UK Music Hall of Fame in November 2005. In 2018, after years of ruling out a reunion, Ray Davies and Dave Davies announced they were working to reform the Kinks.[12][13]
"
Birmingham,"Birmingham (/ˈbɜːrmɪŋəm/ (listen)[4][5] BUR-ming-əm) is a city and metropolitan borough in the West Midlands, England. It is the second-largest city, urban area and metropolitan area in England and the United Kingdom,[b] with roughly 1.1 million inhabitants within the city area, 2.9 million inhabitants within the urban area and 4.3 million inhabitants within the metropolitan area and lies within the most populated English district.[6][7][8][9][10][11][11][12] Birmingham is commonly referred to as the second city of the United Kingdom.[13][14][15]
Located in the West Midlands county and region in England, approximately 100 miles (160 km) from Central London, Birmingham, as one of the United Kingdom's major cities, is considered to be the social, cultural, financial, and commercial centre of both the East and West Midlands. Distinctively, Birmingham only has small rivers flowing through it, mainly the River Tame and its tributaries River Rea and River Cole – one of the closest main rivers is the Severn, approximately 20 miles (32 km) west of the city centre.
A market town of Warwickshire in the medieval period, Birmingham grew in the 18th-century Midlands Enlightenment and subsequent Industrial Revolution, which saw advances in science, technology, and economic development, producing a series of innovations that laid many of the foundations of modern industrial society.[16] By 1791, it was being hailed as ""the first manufacturing town in the world"".[17] Birmingham's distinctive economic profile, with thousands of small workshops practising a wide variety of specialised and highly skilled trades, encouraged exceptional levels of creativity and innovation and provided an economic base for prosperity that was to last into the final quarter of the 20th century. The Watt steam engine was invented in Birmingham.[18]
The resulting high level of social mobility also fostered a culture of political radicalism which, under leaders from Thomas Attwood to Joseph Chamberlain, was to give it a political influence unparalleled in Britain outside London, and a pivotal role in the development of British democracy.[19] From the summer of 1940 to the spring of 1943, Birmingham was bombed heavily by the German Luftwaffe in what is known as the Birmingham Blitz. The damage done to the city's infrastructure, in addition to a deliberate policy of demolition and new building by planners, led to extensive urban regeneration in subsequent decades.
Birmingham's economy is now dominated by the service sector.[20] The city is a major international commercial centre, ranked as a beta − world city by the Globalization and World Cities Research Network the joint highest ranking with Edinburgh and Manchester of all British cities outside of London;[21] and an important transport, retail, events and conference hub. Its metropolitan economy is the second largest in the United Kingdom with a GDP of $121.1bn (2014),[3] and its six universities make it the largest centre of higher education in the country outside London.[22] Birmingham's major cultural institutions – the City of Birmingham Symphony Orchestra, the Birmingham Royal Ballet, the Birmingham Repertory Theatre, the Library of Birmingham and the Barber Institute of Fine Arts – enjoy international reputations,[23] and the city has vibrant and influential grassroots art, music, literary and culinary scenes.[24] The city will host the 2022 Commonwealth Games.[25] Birmingham is the fourth-most visited city in the UK by foreign visitors.[26]
"
List of Parliamentary constituencies in London,"The region of Greater London, including the City of London, is divided into 73 parliamentary constituencies which are sub-classified as borough constituencies, affecting the type of electoral officer and level of expenses permitted.
"
Alps,"The Alps[a] are the highest and most extensive mountain range system that lies entirely in Europe,[2][b] and stretch approximately 1,200 kilometres (750 mi) across eight Alpine countries (from west to east): France, Switzerland, Monaco, Italy, Liechtenstein, Austria, Germany, and Slovenia.[3] The Alpine arch generally extends from Nice on the western Mediterranean to Trieste on the Adriatic and Vienna at the beginning of the Pannonian basin. The mountains were formed over tens of millions of years as the African and Eurasian tectonic plates collided. Extreme shortening  caused by the event resulted in marine sedimentary rocks rising by thrusting and folding into high mountain peaks such as Mont Blanc and the Matterhorn. Mont Blanc spans the French–Italian border, and at 4,809 m (15,778 ft) is the highest mountain in the Alps. The Alpine region area contains about a hundred peaks higher than 4,000 metres (13,000 ft).
The altitude and size of the range affects the climate in Europe; in the mountains precipitation levels vary greatly and climatic conditions consist of distinct zones. Wildlife such as ibex live in the higher peaks to elevations of 3,400 m (11,155 ft), and plants such as Edelweiss grow in rocky areas in lower elevations as well as in higher elevations. Evidence of human habitation in the Alps goes back to the Palaeolithic era. A mummified man, determined to be 5,000 years old, was discovered on a glacier at the Austrian–Italian border in 1991.
By the 6th century BC, the Celtic La Tène culture was well established. Hannibal famously crossed the Alps with a herd of elephants, and the Romans had settlements in the region. In 1800, Napoleon crossed one of the mountain passes with an army of 40,000. The 18th and 19th centuries saw an influx of naturalists, writers, and artists, in particular, the Romantics, followed by the golden age of alpinism as mountaineers began to ascend the peaks.
The Alpine region has a strong cultural identity. The traditional culture of farming, cheesemaking, and woodworking still exists in Alpine villages, although the tourist industry began to grow early in the 20th century and expanded greatly after World War II to become the dominant industry by the end of the century. The Winter Olympic Games have been hosted in the Swiss, French, Italian, Austrian and German Alps. At present, the region is home to 14 million people and has 120 million annual visitors.[4]
"
